id,datetime,verify_verified_id,edit_description
1,2026-08-30T14:56:12Z,4,"promised first output 2032, not 2026"
2,2026-08-30T15:03:24Z,2,Sector vocabulary closed to the eight values in promised_vs_produced_schema.py; this row carried a sector registered under the old extensible rules. Remapped to 'Other' (was 'Food and Beverage'). No other cell changed.
3,2026-08-30T15:03:24Z,3,Sector vocabulary closed to the eight values in promised_vs_produced_schema.py; this row carried a sector registered under the old extensible rules. Remapped to 'Other' (was 'Pharmaceuticals'). No other cell changed.
4,2026-08-30T15:03:24Z,4,Sector vocabulary closed to the eight values in promised_vs_produced_schema.py; this row carried a sector registered under the old extensible rules. Remapped to 'Other' (was 'Pharmaceuticals'). No other cell changed.
5,2026-08-30T15:03:24Z,5,Sector vocabulary closed to the eight values in promised_vs_produced_schema.py; this row carried a sector registered under the old extensible rules. Remapped to 'Other' (was 'Pharmaceuticals'). No other cell changed.
6,2026-08-30T19:48:40Z,7,change the date
7,2026-08-30T20:04:08Z,21,Also including status information from the link https://lhbattery.com/l-h-battery-company-begins-mass-production-of-ess-battery-cells-in-fayette-county-ohio/
8,2026-08-30T20:08:02Z,23,"Fab 52 declared fully operational (""first output"" declared) here https://newsroom.intel.com/client-computing/intel-unveils-panther-lake-architecture-first-ai-pc-platform-built-on-18a"
9,2026-08-30T20:34:46Z,29,2025 H2 promise (in links). also fyi very close to opening.
10,2026-08-30T20:36:06Z,30,slight status update
11,2026-08-30T20:39:23Z,32,"""mass production to start in the second half of 2025"" included in link"
12,2026-09-02T00:52:22Z,2,"Sector reclassified from 'Other' to 'Food and Beverage': pharmaceuticals, solar and food and beverage are now in-scope sectors in schema.py, so this row no longer belongs in the catch-all."
13,2026-09-02T00:52:22Z,31,"Sector reclassified from 'Other' to 'Food and Beverage': pharmaceuticals, solar and food and beverage are now in-scope sectors in schema.py, so this row no longer belongs in the catch-all."
14,2026-09-02T00:52:22Z,3,"Sector reclassified from 'Other' to 'Pharmaceuticals': pharmaceuticals, solar and food and beverage are now in-scope sectors in schema.py, so this row no longer belongs in the catch-all."
15,2026-09-02T00:52:22Z,4,"Sector reclassified from 'Other' to 'Pharmaceuticals': pharmaceuticals, solar and food and beverage are now in-scope sectors in schema.py, so this row no longer belongs in the catch-all."
16,2026-09-02T00:52:22Z,5,"Sector reclassified from 'Other' to 'Pharmaceuticals': pharmaceuticals, solar and food and beverage are now in-scope sectors in schema.py, so this row no longer belongs in the catch-all."
17,2026-09-02T00:52:22Z,6,"Sector reclassified from 'Other' to 'Pharmaceuticals': pharmaceuticals, solar and food and beverage are now in-scope sectors in schema.py, so this row no longer belongs in the catch-all."
18,2026-09-02T00:52:22Z,26,"Sector reclassified from 'Other' to 'Pharmaceuticals': pharmaceuticals, solar and food and beverage are now in-scope sectors in schema.py, so this row no longer belongs in the catch-all."
19,2026-09-02T00:52:22Z,7,"Sector reclassified from 'Other' to 'Solar': pharmaceuticals, solar and food and beverage are now in-scope sectors in schema.py, so this row no longer belongs in the catch-all."
20,2026-09-02T00:52:22Z,9,"Sector reclassified from 'Other' to 'Solar': pharmaceuticals, solar and food and beverage are now in-scope sectors in schema.py, so this row no longer belongs in the catch-all."
21,2026-09-02T00:52:22Z,10,"Sector reclassified from 'Other' to 'Solar': pharmaceuticals, solar and food and beverage are now in-scope sectors in schema.py, so this row no longer belongs in the catch-all."
22,2026-09-02T00:52:22Z,32,"Sector reclassified from 'Other' to 'Solar': pharmaceuticals, solar and food and beverage are now in-scope sectors in schema.py, so this row no longer belongs in the catch-all."
